Date,Open,High,Low,Close,Adj Close,Volume,CPI,Core CPI,gdp,Unemployment_rate,m1,DFF,M2
2015-12-01,37.355499,38.999001,36.208500,37.944000,37.944000,862006000,2.4436874,244.547,18332.079,5.0,3115.4000000000000000,0.24064516129032300000,12422.6750000000000000
2016-01-01,37.150002,37.599998,33.662998,37.147499,37.147499,931224000,2.4667222,244.955,18332.079,4.8,3102.7500000000000000,0.34290322580645200000,12484.1750000000000000
2016-02-01,37.522999,39.493500,33.153000,34.888500,34.888500,1287340000,2.5442092,245.510,18332.079,4.9,3113.7000000000000000,0.37517241379310300000,12505.200000000000
2016-03-01,35.181000,37.894001,34.266998,37.247501,37.247501,834848000,2.531878,245.913,18425.306,5.0,3153.5250000000000000,0.36225806451612900000,12678.775000000000
2016-04-01,36.930000,38.494999,34.450001,34.650501,34.650501,843080000,2.537996,246.551,18425.306,5.1,3226.1000000000000000,0.36533333333333300000,12791.525000000000
2016-05-01,34.881500,36.986500,34.450500,36.785999,36.785999,699930000,2.5711572,247.137,18425.306,4.8,3254.9800000000000000,0.36516129032258100000,12703.960000000000
2016-06-01,36.726501,36.860500,33.164200,34.605000,34.605000,787250000,2.5689022,247.540,18611.617,4.9,3225.1000000000000000,0.37766666666666700000,12786.100000000000
2016-07-01,34.610001,38.927502,34.410751,38.439499,38.439499,598296000,2.5758512,247.829,18611.617,4.8,3237.8000000000000000,0.39161290322580600000,12841.375000000000
2016-08-01,38.054501,39.487499,38.054501,38.352501,38.352501,527708000,2.7228064,248.423,18611.617,4.9,3321.5600000000000000,0.39677419354838700000,12931.940000000000
2016-09-01,38.462502,39.492500,37.700001,38.864498,38.864498,551028000,2.6321032,248.842,18775.459,5.0,3281.9500000000000000,0.39633333333333300000,13013.475000000000
2016-10-01,38.712502,40.834000,38.474998,39.227001,39.227001,679126000,2.5095184,249.142,18775.459,4.9,3347.2800000000000000,0.39645161290322600000,13071.160000000000
2016-11-01,39.144501,39.781651,36.376999,37.902000,37.902000,852844000,2.5258013,249.481,18775.459,4.7,3315.9000000000000000,0.40666666666666700000,13190.750000000000
2016-12-01,37.872002,40.219002,36.851250,38.591000,38.591000,641946000,2.594944,249.920,18968.041,4.7,3356.6000000000000000,0.54000000000000000000,13284.600000000000
2017-01-01,38.940498,42.097500,38.790001,39.839500,39.839500,664002000,2.661562,250.467,18968.041,4.7,3412.9400000000000000,0.64967741935483900000,13292.820000000000
2017-02-01,39.984001,41.672501,39.559502,41.160500,41.160500,513672000,2.67446,250.998,18968.041,4.6,3358.6750000000000000,0.65678571428571400000,13299.600000000000
2017-03-01,41.442501,42.674999,40.168499,41.478001,41.478001,676702000,2.453344,250.944,19148.194,4.4,3441.2500000000000000,0.78612903225806500000,13480.400000000000
2017-04-01,41.460999,45.842499,40.851002,45.298000,45.298000,504374000,2.25217,251.227,19148.194,4.4,3498.7500000000000000,0.89600000000000000000,13589.025000000000
2017-05-01,45.097000,48.963501,45.072498,48.243000,48.243000,643602000,2.155911,251.430,19148.194,4.4,3522.0400000000000000,0.90741935483871000000,13466.460000000000
2017-06-01,48.447498,49.412498,45.415501,45.436501,45.436501,871752000,2.13853,251.746,19304.506,4.3,3506.6000000000000000,1.0400000000000000,13520.100000000000
2017-07-01,45.609001,49.310001,44.739498,46.525002,46.525002,733584000,2.146769,251.985,19304.506,4.3,3572.9600000000000000,1.1506451612903200,13577.900000000000
2017-08-01,46.618999,47.098999,45.169998,46.966499,46.966499,559160000,2.089832,252.535,19304.506,4.4,3566.7500000000000000,1.1570967741935500,13653.225000000000
2017-09-01,47.056499,47.989300,45.485001,47.955502,47.955502,561076000,2.106697,252.812,19561.896,4.3,3535.6000000000000000,1.1533333333333300,13699.125000000000
2017-10-01,47.999001,52.419498,47.391998,50.832001,50.832001,635594000,2.192819,253.526,19561.896,4.2,3615.0400000000000000,1.1538709677419400,13744.220000000000
2017-11-01,50.860500,53.118752,50.650501,51.070499,51.070499,485310000,2.115031,253.816,19561.896,4.2,3587.6250000000000000,1.1570000000000000,13818.125000000000
2017-12-01,50.790001,53.924500,49.414001,52.320000,52.320000,563274000,2.125472,254.344,19894.75,4.1,3630.4500000000000000,1.3016129032258100,13928.375000000000
